#{"t_start": 1658767818.188372, "env_id": "CarRacing-v1"}
r,l,t
8.280255,1000,1866.367747
-0.0,1000,1875.024708
28.472222,1000,1881.689321
-25.696594,1000,1890.128303
-33.333333,1000,1897.007488
128.873239,1000,1905.314325
-7.462687,1000,1912.23353
-42.14876,1000,1920.762962
8.552632,1000,1927.652446
-4.59364,1000,1934.554382
-9.090909,1000,1942.963445
7.142857,1000,1949.66895
54.761905,1000,1957.63787
-51.048951,1000,1964.691636
24.137931,1000,1973.075611
-24.914676,1000,1979.590763
-36.555891,1000,1988.007495
-17.431193,1000,1995.100126
-70.29703,1000,2003.554953
-19.354839,1000,2009.889739
-27.392739,1000,2018.162648
-19.354839,1000,2024.973845
-26.174497,1000,2033.293519
78.707224,1000,2039.925707
-22.818792,1000,2048.155429
3.202847,1000,2054.80409
30.111524,1000,2062.932379
5.740181,1000,2069.974771
-18.819188,1000,2078.256969
-27.586207,1000,2084.701213
-28.802589,1000,2093.261626
-33.333333,1000,2099.938285
-20.886076,1000,2108.653076
27.49004,1000,2115.312532
-29.530201,1000,2123.61609
1.694915,1000,2130.148315
-24.657534,1000,2138.298125
-29.824561,1000,2145.069761
-22.261484,1000,2153.043256
-36.102236,1000,2159.419216
-21.875,1000,2167.815258
68.498168,1000,2174.496538
13.793103,1000,2182.834916
-12.052117,1000,2189.811684
35.802469,1000,2198.334499
77.935943,1000,2205.084205
55.797101,1000,2213.605987
-30.81761,1000,2220.291712
-29.71246,1000,2228.643323
-26.282051,1000,2235.441251
-24.528302,1000,2244.076138
16.352201,1000,2250.871643
-26.174497,1000,2257.457531
33.828996,1000,2265.669823
-26.315789,1000,2272.355785
-27.152318,1000,2280.854601
-28.057554,1000,2287.535734
-21.052632,1000,2295.748038
-23.076923,1000,2302.206576
-35.275081,1000,2310.163568
-23.076923,1000,2316.360833
-10.891089,1000,2325.297993
-58.801498,1000,2331.997497
-16.666667,1000,2339.980097
-16.996047,1000,2346.262136
-18.518519,1000,2354.212575
-25.170068,1000,2360.842757
34.328358,1000,2369.050368
-28.571429,1000,2375.679429
-32.721713,1000,2384.093883
-45.848375,1000,2390.55741
-12.878788,1000,2398.803709
33.333333,1000,2405.526321
-28.082192,1000,2413.922157
-20.863309,1000,2420.26269
18.421053,1000,2428.773737
-12.408759,1000,2435.38272
70.542636,1000,2443.745559
-20.0,1000,2450.24811
-4.761905,1000,2458.559717
-13.978495,1000,2465.149778
-22.807018,1000,2473.086946
57.575758,1000,2479.590823
12.540193,1000,2487.783361
-28.082192,1000,2493.827083
-19.413919,1000,2501.696329
-35.064935,1000,2507.809629
-23.875433,1000,2515.75634
-26.910299,1000,2522.384421
-12.350598,1000,2530.554422
242.205323,1000,2538.247349
-21.501706,1000,2546.970985
-17.266187,1000,2553.907758
-27.392739,1000,2562.440747
-20.529801,1000,2569.145162
313.934426,1000,2575.687222
-14.285714,1000,2583.8425
-27.797834,1000,2590.184001
-33.130699,1000,2598.53087
197.297297,1000,2605.392276
112.765957,1000,2613.876065
240.490798,1000,2620.752473
-38.953488,1000,2629.397511
-23.076923,1000,2635.685279
-16.981132,1000,2644.011217
81.434599,1000,2650.491858
-22.261484,1000,2659.029733
-3.225806,1000,2665.47097
115.447154,1000,2673.986597
-14.498141,1000,2680.264514
-1.754386,1000,2688.600874
-31.952663,1000,2695.814667
60.714286,1000,2704.212449
54.574132,1000,2711.122521
77.165354,1000,2719.149735
69.741697,1000,2725.683454
32.947977,1000,2734.209238
11.842105,1000,2741.012902
-20.962199,1000,2749.160576
1.754386,1000,2755.694386
11.464968,1000,2764.620374
-7.284768,1000,2771.678242
-25.423729,1000,2780.3954
27.737226,1000,2786.669944
35.714286,1000,2795.155055
-2.597403,1000,2801.96889
29.449838,1000,2810.795253
46.616541,1000,2817.216404
83.823529,1000,2825.13697
-6.354515,1000,2832.148349
5.454545,1000,2840.513702
246.031746,1000,2847.39766
-10.344828,1000,2855.66858
-10.071942,1000,2862.455414
56.0,1000,2870.811767
-21.146953,1000,2877.966813
15.384615,1000,2886.75102
4.895105,1000,2893.610309
-28.327645,1000,2900.514131
-33.333333,1000,2908.968148
-27.672956,1000,2915.738392
-30.599369,1000,2924.758384
20.274914,1000,2931.454307
-14.285714,1000,2939.915354
-12.650602,1000,2947.089605
-24.342105,1000,2955.889777
-27.835052,1000,2962.419617
150.0,1000,2971.280367
-25.423729,1000,2978.137532
-26.282051,1000,2986.384482
-22.509225,1000,2992.515392
-10.034602,1000,3000.673233
-29.078014,1000,3007.198573
