#{"t_start": 1658822712.01424, "env_id": "CarRacing-v1"}
r,l,t
-59.372727,322,1544.318014
-68.489189,294,1546.367458
-56.112853,1000,1555.971974
-61.404075,242,1557.847319
-62.229268,355,1560.554462
-14.728682,1000,1567.183512
-55.6,307,1571.158369
-53.829801,334,1573.484412
-59.86045,307,1575.551922
-54.357534,298,1577.545853
-69.446988,328,1579.802012
-23.076923,1000,1589.199477
-67.725407,232,1590.906987
-66.59375,331,1593.143701
-67.59322,321,1595.364368
-61.097297,389,1598.047559
-60.538835,286,1600.001135
-81.843854,351,1604.176357
-52.522255,1000,1611.276304
-52.538762,243,1612.940827
-68.75,1000,1622.101802
-82.3,324,1624.32084
-121.825926,960,1630.486569
-83.159459,238,1632.037978
-61.686207,342,1635.971298
14.70458,228,1637.434057
145.283019,1000,1644.030261
-30.795848,1000,1652.468451
-26.910299,1000,1659.156844
-58.465886,288,1661.000236
-5.405405,1000,1670.264686
60.305344,1000,1676.965417
-75.881609,392,1681.432021
-48.511111,250,1683.147059
-69.60339,375,1685.842263
-42.363112,1000,1692.670999
-65.866904,407,1695.30115
-33.110368,1000,1704.116491
16.363636,1000,1710.769408
-66.078014,371,1714.943091
-14.498141,1000,1721.494964
-60.535211,381,1724.228621
-21.232877,1000,1732.998152
-24.528302,1000,1740.035398
-46.625641,557,1745.578726
-62.368852,346,1747.797195
-77.788545,460,1750.840928
-58.434921,379,1753.426396
-59.456338,335,1755.861597
-46.088737,281,1757.875261
-53.157401,399,1762.171626
6.42093,274,1764.014992
-2.027027,1000,1770.762572
-65.797909,321,1772.81412
-29.292929,1000,1781.486875
56.691304,608,1785.624074
-92.988809,328,1787.809592
-73.362937,364,1792.307191
-73.893233,567,1795.984956
-83.129268,564,1799.827427
-55.529032,395,1802.619368
-32.907348,1000,1811.184938
-25.566343,1000,1818.067752
-69.224675,440,1821.349824
-67.884342,356,1825.637206
-58.82834,399,1828.302389
-54.007018,313,1830.618402
-61.134483,302,1832.726113
-55.931183,313,1834.730809
-60.930303,330,1836.83229
-52.138889,321,1840.55398
-55.960432,316,1842.822719
-60.0,301,1844.914588
-50.047328,303,1846.998767
8.099174,201,1848.451547
-53.107018,304,1850.52815
-51.354717,307,1852.523156
-59.534483,286,1856.212323
-64.654849,283,1858.290116
-51.332877,302,1860.573266
-49.560627,298,1862.555113
-60.579336,271,1864.464807
-49.575768,350,1867.029684
-58.497834,308,1871.184153
-58.454054,295,1873.219338
-39.754098,251,1875.046044
-54.917647,359,1877.453984
-56.813043,330,1879.442519
-59.656338,337,1881.602548
-75.420134,225,1883.045094
-42.280669,316,1886.72294
-51.435211,290,1888.541601
-35.153584,1000,1895.324476
-9.929412,240,1897.152973
-66.772549,355,1899.641953
33.662745,233,1903.183493
-56.554054,276,1905.021177
-12.530279,202,1906.368188
-57.235052,295,1908.485513
-20.577617,1000,1915.102777
-19.413919,1000,1923.87562
-54.070588,277,1925.753483
-10.546886,242,1927.321448
-49.701706,283,1929.297862
-5.714286,201,1930.787683
-49.976923,270,1934.433158
-57.904575,299,1936.565614
-50.062199,292,1938.476197
-59.372549,281,1940.341254
-58.393069,278,1942.306252
-55.580916,282,1944.056131
-58.187179,288,1945.915187
-54.831915,294,1949.611503
-65.263091,253,1951.325468
-62.945455,285,1953.107859
6.306452,196,1954.53417
-67.206918,302,1956.714303
-59.733333,265,1958.589168
-58.057554,301,1960.531489
-33.908812,183,1961.877842
-2.777778,1000,1970.338948
-60.575081,254,1972.165749
-55.161089,253,1973.87959
-53.43564,262,1975.823262
38.478746,219,1977.623637
-58.163309,374,1983.762986
25.358824,218,1985.568412
-61.575,273,1987.82623
-57.53564,303,1990.035173
-61.36993,314,1992.487471
-66.1,287,1994.861335
-63.672789,318,1997.004721
-37.291419,232,2000.431214
20.494224,204,2001.950495
-10.335593,223,2003.672594
-75.383871,400,2006.506962
-59.079336,256,2008.265027
-59.459933,269,2010.228194
-70.43792,317,2012.596026
-54.527645,263,2014.43901
-51.636364,281,2018.523912
-59.871429,314,2020.783217
-6.792453,201,2022.24492
-50.128571,288,2024.303553
-54.038951,253,2025.952157
-78.231655,179,2027.188894
-55.572549,243,2028.89029
-59.504478,305,2030.906704
-55.114676,303,2034.793194
-61.197436,254,2036.545071
-18.453731,193,2037.878337
45.800881,217,2039.424759
-51.757664,285,2041.460985
-59.893069,293,2043.529348
-50.429268,237,2045.132809
-19.54023,1000,2053.839128
14.671651,225,2055.506759
22.29249,201,2056.992255
46.666667,201,2058.458133
-0.9125,182,2059.792867
-8.057895,200,2061.459487
-40.6,287,2063.441732
-61.024113,285,2067.502651
-33.92549,203,2068.958294
-58.327645,301,2071.461375
-57.893399,240,2073.264758
40.565306,228,2074.986525
-58.924561,292,2077.114296
35.875601,223,2078.818837
-54.892739,276,2080.77249
-56.499642,247,2084.508912
29.691513,217,2086.109998
-62.391318,268,2088.202338
-63.379817,277,2090.179347
-44.254545,239,2091.828304
-56.701887,285,2093.731827
-60.426936,245,2095.499562
-63.861538,255,2097.300848
-50.454545,301,2101.821777
-59.972549,287,2103.854187
-64.697436,289,2105.869059
-58.625623,299,2108.027548
-54.813559,261,2110.253764
-51.454373,276,2112.260164
-49.057664,258,2113.993869
-57.471429,290,2117.876482
35.942657,215,2119.446767
-64.985185,299,2121.936378
-55.023729,297,2124.061639
-59.557554,316,2126.208816
-53.597834,259,2128.092525
23.462733,226,2130.021772
-51.877617,314,2132.391654
-65.591318,300,2136.536466
-63.583871,282,2138.597087
-54.629268,279,2140.571873
-59.242857,272,2142.488113
-70.0,201,2144.033058
-54.572727,274,2145.938644
-64.463636,282,2148.040717
38.544765,204,2151.560604
-56.735052,290,2153.5698
-54.971429,265,2155.464874
50.202662,210,2157.083244
-56.813559,281,2159.279682
-49.649466,316,2161.445115
-61.958065,298,2163.588838
-1.442857,194,2164.97456
-60.525623,318,2169.107026
-51.479923,288,2171.002567
-58.072789,262,2172.842231
-62.65342,279,2174.826561
-47.987938,298,2176.87633
-58.338762,301,2179.219635
-55.068852,273,2181.147836
-25.795053,1000,2189.972316
-61.113589,309,2192.13296
-56.571429,281,2194.032053
-52.357664,291,2196.116444
-33.89481,205,2197.540656
-57.770588,314,2201.442536
-60.671478,295,2203.513171
-67.025749,300,2205.637084
-53.335211,309,2207.876417
-63.979439,295,2210.122844
9.468106,202,2211.598762
-58.695848,280,2213.581187
-66.138835,342,2217.810648
-50.115789,239,2219.586772
-65.407348,326,2222.814024
-28.162687,208,2224.415626
-60.532558,304,2226.753963
-59.139927,325,2229.073388
-65.877039,264,2231.360899
-8.648485,239,2233.148436
-57.765886,281,2237.166784
-69.290962,277,2239.549039
-59.347541,283,2241.621925
31.08855,255,2243.516842
-57.113559,284,2245.478168
-62.062264,282,2247.512057
-70.310368,373,2250.562334
-56.944948,337,2255.207268
-57.63564,304,2257.434253
-70.261538,319,2259.719228
-59.871429,314,2262.082929
16.254422,199,2263.539754
-60.393399,265,2265.407408
-55.525926,297,2267.579446
-11.286301,244,2271.525169
-49.56875,317,2273.668619
-72.326936,364,2276.246158
-64.774834,311,2278.45739
1.299281,247,2280.529641
2.017722,215,2282.177362
-64.793399,309,2284.339942
72.719124,226,2287.76981
-60.656338,347,2290.206051
-52.709225,303,2292.259277
-57.410299,306,2294.346297
-11.789109,208,2295.86969
-2.811679,197,2297.228529
-63.362264,295,2299.288206
-44.34981,281,2303.064461
-56.270068,312,2305.203422
-62.593069,320,2307.487906
-51.208185,296,2309.476869
-49.248315,280,2311.516752
-59.972789,281,2313.445781
-57.868852,301,2315.572105
-8.479715,189,2316.920369
-52.576923,296,2321.058494
-53.531183,289,2323.173201
-62.469279,284,2325.177221
-52.476923,295,2327.164878
-59.555556,291,2329.13265
-58.071429,296,2331.256239
-65.455891,290,2333.296196
-68.607348,358,2337.589263
-54.276923,313,2339.705597
-16.536842,219,2341.281552
8.084192,226,2343.067468
-61.254676,297,2345.184716
-63.479439,290,2347.315957
34.394737,236,2348.985493
-65.704075,285,2352.805754
-48.077617,276,2354.661212
41.950958,229,2356.241745
34.463636,220,2357.819937
-67.777039,283,2359.780279
-60.475884,281,2361.726124
-47.118919,283,2363.614576
-50.289855,301,2365.72839
-58.6,287,2369.664689
-60.944304,275,2371.660652
-57.907299,310,2373.754981
-53.631915,282,2375.632924
-47.410448,296,2377.698677
38.651301,213,2379.190165
-62.733333,295,2381.240916
-64.925749,279,2385.021235
-62.03494,284,2387.024108
-54.31203,296,2388.98611
-52.398625,281,2390.958876
10.979848,222,2392.587846
-68.82808,291,2394.77937
-61.774834,281,2396.690917
-63.08452,282,2400.545295
-60.862264,270,2402.464752
-53.611111,301,2404.454533
-49.844948,266,2406.269824
-51.329582,286,2408.276637
-12.209091,214,2410.028882
-41.834146,273,2411.958789
-60.292739,330,2414.216516
-63.897834,362,2418.697167
-57.478014,285,2420.71016
-57.692929,285,2422.640613
-41.596887,273,2424.461392
-52.339716,340,2426.807226
37.724793,194,2428.132397
-58.870068,338,2430.620496
-58.271429,298,2434.520087
-49.417647,304,2436.563266
-44.930534,290,2438.443993
-48.98042,295,2440.434424
-64.882822,294,2442.483739
-45.750916,301,2444.490982
-51.138889,311,2446.637088
-55.373427,289,2450.381713
-54.076923,311,2452.517322
-50.752632,298,2454.530604
-47.908029,283,2456.495849
-46.467509,296,2458.635366
-74.155172,346,2461.302802
-55.322222,332,2465.364706
-59.788545,280,2467.428154
-53.966904,288,2469.382095
-56.725926,309,2471.510529
-49.289655,287,2473.447227
-67.461538,291,2475.643907
-61.687179,323,2478.019925
-62.633934,288,2482.023785
-65.283871,299,2484.184644
-50.497297,283,2486.095266
-26.129577,213,2487.681897
-9.086301,222,2489.2532
-51.561484,294,2491.255981
-55.810299,290,2493.312227
-54.173427,277,2495.224331
-56.813559,281,2499.019775
-58.21246,286,2501.072152
-54.929268,282,2503.048191
-48.8,289,2505.053822
-43.927273,313,2507.201076
-9.83384,202,2508.602046
